coin,current_price,1h,price_change_percentage_24h,7d,total_volume,market_cap,date,liquidity_ratio,volatility_range,price_change_ratio,cap_per_supply,liquidity_level
Bitcoin,40859.46,0.022,0.03,0.055,35390763321.0,770991461396.0,2022-03-16,0.045902925120492925,0,7.342240940041792e-07,0,Medium
Ethereum,2744.41,0.024,0.034,0.065,19748695312.0,327104429349.0,2022-03-16,0.0603742827674442,0,1.238881945481907e-05,0,Medium
Tether,1.0,-0.001,-0.001,0.0,57934969077.0,79965155138.0,2022-03-16,0.7245026784105981,0,-0.001,0,High
BNB,383.43,0.018,0.0279999999999999,0.004,1395853984.0,64043816800.0,2022-03-16,0.02179529662260854,0,7.302506324492058e-05,0,Medium
USD Coin,0.999874,-0.001,0.0,-0.0,3872273611.0,52222137400.0,2022-03-16,0.07415004064923623,0,0.0,0,High
XRP,0.785018,0.019,0.019,0.089,3925204682.0,37530785877.0,2022-03-16,0.10458626405703601,0,0.02420326667668767,0,High
Terra,89.51,0.024,-0.005,0.046,2661508267.0,32945963147.0,2022-03-16,0.08078404796134643,0,-5.585968048262764e-05,0,High
Solana,85.61,0.024,0.0139999999999999,0.0409999999999999,1776167313.0,27535891424.0,2022-03-16,0.06450371573777745,0,0.00016353229762878051,0,High
Cardano,0.824161,0.016,0.016,0.0279999999999999,950718327.0,26331888060.0,2022-03-16,0.03610520919858414,0,0.019413682520769606,0,Medium
Polkadot,18.55,0.031,0.035,0.095,762198942.0,20175265447.0,2022-03-16,0.03777888048126458,0,0.0018867924528301887,0,Medium
Avalanche,73.69,0.034,0.032,0.011,866838890.0,19563622731.0,2022-03-16,0.044308710197443646,0,0.00043425159451757365,0,Medium
Binance USD,1.0,-0.002,0.002,0.002,4039490120.0,17975175881.0,2022-03-16,0.2247260414441783,0,0.002,0,High
Dogecoin,0.11566,0.015,0.023,-0.011,451839687.0,15312260998.0,2022-03-16,0.02950835850166195,0,0.1988587238457548,0,Medium
TerraUSD,1.0,-0.001,0.003,0.001,742209053.0,15025463384.0,2022-03-16,0.04939674963970482,0,0.003,0,Medium
Shiba Inu,2.241815e-05,0.024,0.0279999999999999,-0.021,546344871.0,12186102832.0,2022-03-16,0.0448334367871351,0,1248.9879851816452,0,Medium
Wrapped Bitcoin,40820.44,0.02,0.03,0.055,443045583.0,11077637101.0,2022-03-16,0.03999459261578495,0,7.349259341643549e-07,0,Medium
Cronos,0.401575,0.018,0.043,0.038,99233479.0,10108572460.0,2022-03-16,0.009816764868894257,0,0.1070783788831476,0,Low
Polygon,1.44,0.0289999999999999,0.034,-0.0,665458992.0,9860943646.0,2022-03-16,0.06748431142996515,0,0.023611111111111114,0,High
Dai,0.999429,-0.0,-0.001,-0.0,311112491.0,9375312310.0,2022-03-16,0.033184226904970165,0,-0.0010005713262272759,0,Medium
Cosmos Hub,28.8,0.017,0.051,0.035,784802946.0,8346059118.0,2022-03-16,0.09403275664647646,0,0.0017708333333333332,0,High
Litecoin,109.44,0.016,0.013,0.089,735718470.0,7629784997.0,2022-03-16,0.09642715624218526,0,0.00011878654970760234,0,High
Lido Staked Ether,2745.31,0.026,0.035,0.067,20327033.0,6972219575.0,2022-03-16,0.002915432134823436,0,1.2749015593867361e-05,0,Low
Near,10.61,0.0409999999999999,0.032,0.091,402450393.0,6885969777.0,2022-03-16,0.05844498393592064,0,0.0030160226201696515,0,Medium
Chainlink,14.41,0.023,0.064,0.102,720924698.0,6696893329.0,2022-03-16,0.1076506168730704,0,0.004441360166551007,0,High
TRON,0.060751875857,0.011,0.005,0.003,608305288.0,6139215131.0,2022-03-16,0.09908518841901454,0,0.08230198540320276,0,High
FTX Token,42.37,0.02,0.024,0.045,91093038.0,5803217982.0,2022-03-16,0.015696987134128988,0,0.0005664385178192117,0,Low
